lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,agent,adr,reservation_status_date,customer
7,2016,11,16,0,4,GBR,Offline TA/TO,TA/TO,D,D,177,48.25,161120,2
173,2016,5,19,2,3,IRL,Online TA,TA/TO,A,A,240,52.2,160524,2
41,2017,1,19,0,2,PRT,Online TA,TA/TO,A,A,468,57.6,161224,2
155,2016,7,20,1,4,PRT,Offline TA/TO,TA/TO,A,A,314,100.8,160322,2
80,2016,4,7,0,3,ESP,Groups,TA/TO,A,A,67,68,160410,2
29,2016,2,6,2,1,PRT,Offline TA/TO,TA/TO,D,D,156,63,160209,2
123,2016,8,14,2,3,ESP,Online TA,TA/TO,E,E,240,216,160720,2
168,2016,3,30,1,4,GBR,Groups,Direct,A,C,0,66,160404,3
36,2016,10,20,1,3,GBR,Groups,Corporate,A,H,0,6,161024,2
66,2015,8,22,2,3,PRT,Direct,Direct,A,A,250,149,150827,3
109,2015,7,3,0,2,PRT,Online TA,TA/TO,A,A,240,123,150526,2
5,2015,8,3,1,3,PRT,Online TA,TA/TO,A,D,240,191,150807,2
14,2016,6,9,0,2,KWT,Online TA,TA/TO,C,C,242,173,160611,2
10,2016,2,19,0,2,PRT,Offline TA/TO,TA/TO,A,A,15,29,160210,2
31,2016,12,30,0,2,PRT,Complementary,Direct,E,E,0,0,170101,2
2,2016,10,17,1,0,PRT,Offline TA/TO,TA/TO,A,A,327,45,161018,1
344,2017,6,1,4,10,PRT,Offline TA/TO,TA/TO,A,A,243,56.7,170301,2
7,2017,3,10,0,2,PRT,Direct,Direct,D,D,250,77,170312,2
131,2016,10,28,2,5,GBR,Online TA,TA/TO,E,E,240,63.03,160621,2
94,2017,8,13,2,5,GBR,Offline TA/TO,TA/TO,D,D,40,167,170820,2
45,2016,5,30,1,5,GBR,Online TA,TA/TO,A,F,240,115,160605,2
4,2015,11,27,1,2,PRT,Online TA,TA/TO,G,G,240,98,151130,4
201,2015,7,24,2,4,GBR,Offline TA/TO,TA/TO,A,A,156,90.95,150730,2
192,2016,5,8,2,5,PRT,Offline TA/TO,TA/TO,D,D,147,53.87,160427,2
141,2016,5,31,2,5,GBR,Offline TA/TO,TA/TO,D,E,143,107.1,160607,2
87,2016,4,29,2,5,PRT,Groups,TA/TO,A,A,71,46,160413,2
252,2017,4,22,2,5,GBR,Groups,TA/TO,D,D,273,75.09,170429,2
0,2015,8,16,1,0,GBR,Online TA,TA/TO,A,G,240,195,150817,2
70,2017,5,13,2,2,PRT,Online TA,TA/TO,E,E,240,147,170424,2
70,2017,2,22,0,4,PRT,Corporate,Corporate,A,A,0,42,161214,2
220,2017,5,15,3,7,GBR,Offline TA/TO,TA/TO,E,E,436,90,170525,2
232,2016,4,16,2,5,PRT,Online TA,TA/TO,A,A,240,52.2,160105,2
245,2016,9,12,1,0,CHE,Offline TA/TO,TA/TO,D,E,251,86,160913,2
2,2016,3,12,0,1,PRT,Online TA,TA/TO,A,D,240,58,160313,2
334,2017,7,5,1,4,PRT,Direct,Direct,A,A,250,123.38,170626,2
0,2017,1,18,0,1,PRT,Corporate,Corporate,A,D,0,35,170119,1
169,2017,7,14,2,5,BRA,Online TA,TA/TO,A,A,240,151.43,170211,2
195,2016,9,22,2,5,GBR,Offline TA/TO,TA/TO,A,A,243,53.85,160929,2
144,2016,7,16,2,5,PRT,Offline TA/TO,TA/TO,D,D,253,110.7,160303,2
14,2016,2,12,0,2,ESP,Direct,Direct,F,F,250,124,160214,2
41,2015,9,30,4,10,GBR,Offline TA/TO,TA/TO,A,A,142,54.4,151014,1
337,2016,10,9,4,6,PRT,Groups,Direct,D,D,273,72.45,160920,2
62,2017,8,2,0,1,FRA,Online TA,TA/TO,E,E,0,230,170803,2
22,2017,4,1,2,1,ESP,Online TA,TA/TO,A,D,240,107,170404,2
51,2017,6,30,2,2,PRT,Corporate,Corporate,D,D,531,76,170512,2
239,2015,9,19,1,1,FRA,Offline TA/TO,TA/TO,A,A,248,59,150921,1
93,2016,11,8,4,11,DEU,Online TA,TA/TO,D,D,240,73.8,160930,2
225,2016,5,26,0,3,GBR,Groups,Direct,A,A,0,64,160529,1
45,2015,8,21,1,2,PRT,Direct,Direct,A,A,0,153,150824,2
350,2017,3,24,0,2,PRT,Groups,TA/TO,A,A,11,30,170310,2
107,2016,5,5,2,5,GBR,Offline TA/TO,TA/TO,D,D,243,46.75,160512,2
171,2016,6,25,2,5,NLD,Direct,Direct,F,F,250,158.43,160702,2
36,2016,12,12,1,1,ITA,Online TA,TA/TO,A,D,240,43,161214,1
110,2016,1,2,2,5,FRA,Online TA,TA/TO,D,E,240,46.93,160109,2
313,2017,5,9,2,5,GBR,Online TA,TA/TO,D,D,241,51.97,170516,2
49,2017,2,28,0,2,PRT,Groups,TA/TO,A,C,332,35,170119,2
66,2016,1,29,1,2,GBR,Offline TA/TO,TA/TO,A,A,314,29,160201,2
1,2016,2,2,0,3,SWE,Online TA,TA/TO,E,E,240,68,160205,2
48,2017,1,26,0,3,GBR,Online TA,TA/TO,A,A,241,29.11,170129,3
3,2016,12,10,0,1,PRT,Online TA,TA/TO,H,H,240,110,161211,4
152,2017,4,5,0,4,GBR,Groups,TA/TO,A,A,0,48,170409,2
216,2016,6,20,3,5,PRT,Online TA,TA/TO,E,E,240,99,160504,2
1,2015,12,24,0,3,AUS,Offline TA/TO,TA/TO,A,A,36,44,151227,2
97,2016,11,14,2,5,DEU,Offline TA/TO,TA/TO,D,D,75,37.7,161121,2
20,2016,4,4,1,1,PRT,Direct,Direct,D,D,250,89,160406,2
5,2016,5,21,0,1,PRT,Online TA,TA/TO,A,D,240,85,160522,2
0,2015,10,24,0,1,PRT,Direct,Direct,A,A,0,39,151025,1
14,2017,2,7,0,1,PRT,Offline TA/TO,TA/TO,A,A,146,35,170208,1
31,2016,12,30,0,2,PRT,Groups,Direct,E,E,0,340,170101,2
1,2015,11,8,2,1,CN,Online TA,TA/TO,D,D,240,52.4,151111,2
106,2017,4,22,2,5,IRL,Direct,Direct,F,F,250,103.57,170429,2
1,2017,8,20,2,0,PRT,Online TA,TA/TO,G,G,240,269,170822,4
48,2015,7,20,1,2,ESP,Offline TA/TO,TA/TO,A,A,142,118,150723,2
251,2017,6,26,1,3,CN,Groups,TA/TO,D,G,96,92,170630,1
15,2016,8,4,2,3,ESP,Online TA,TA/TO,G,G,240,240,160809,4
0,2015,10,1,0,1,LUX,Online TA,TA/TO,A,G,0,120,151002,2
73,2016,4,29,0,0,PRT,Online TA,TA/TO,A,C,241,0,160429,2
85,2017,6,9,1,2,FRA,Online TA,TA/TO,E,E,240,150,170612,2
108,2017,4,20,1,3,FRA,Online TA,TA/TO,E,E,240,93.75,170424,2
74,2016,4,12,1,5,SWE,Online TA,TA/TO,D,D,240,73,160418,2
17,2017,7,1,0,0,PRT,Online TA,TA/TO,A,I,240,0,170701,1
14,2015,10,5,2,5,GBR,Online TA,TA/TO,C,C,241,83.6,151012,3
62,2015,8,23,2,5,IRL,Offline TA/TO,TA/TO,A,A,156,101.65,150830,2
155,2015,12,24,0,3,GBR,Direct,Direct,G,G,250,73.1,151227,3
24,2017,4,8,0,1,PRT,Online TA,TA/TO,E,F,240,147,170408,2
102,2017,3,26,2,1,PRT,Groups,Corporate,A,A,495,39.33,161223,1
2,2017,2,8,0,1,PRT,Corporate,Corporate,A,A,0,35,170209,1
4,2016,11,27,1,0,GBR,Online TA,TA/TO,A,A,240,43,161128,1
60,2016,8,8,1,3,PRT,Online TA,TA/TO,D,D,241,202.28,160614,3
92,2016,2,26,1,2,PRT,Groups,TA/TO,A,A,134,79,151210,2
10,2016,4,14,0,1,ESP,Corporate,Corporate,A,A,0,39,160415,1
210,2017,4,9,1,0,PRT,Online TA,TA/TO,A,A,5,43.2,161004,2
197,2016,4,30,1,1,DEU,Groups,TA/TO,A,B,298,54.5,160502,1
13,2016,2,22,1,1,PRT,Online TA,TA/TO,A,D,240,90,160224,2
34,2016,11,21,1,5,ESP,Direct,Direct,A,A,250,74.88,161127,2
132,2016,7,18,1,3,PRT,Online TA,TA/TO,A,A,196,144,160722,2
52,2015,8,25,1,5,PRT,Online TA,TA/TO,E,F,240,176.67,150831,2
198,2017,5,5,1,2,GBR,Offline TA/TO,TA/TO,D,D,6,54,170508,2
171,2016,7,7,2,5,POL,Offline TA/TO,TA/TO,A,A,243,68.86,160714,2
171,2017,4,11,2,6,GBR,Online TA,TA/TO,D,D,240,77.19,170419,2
100,2015,7,25,2,5,PRT,Online TA,TA/TO,A,A,240,134,150417,2
103,2017,5,14,2,5,PRT,Offline TA/TO,TA/TO,A,A,69,40.95,170521,2
0,2017,3,17,0,1,ESP,Online TA,TA/TO,A,H,240,75,170318,2
1,2016,12,3,0,1,USA,Direct,Direct,A,D,0,66,161204,2
54,2017,5,9,0,3,GBR,Online TA,TA/TO,G,G,240,165,170418,4
100,2016,4,28,3,8,NLD,Groups,TA/TO,A,A,95,47,160509,2
103,2017,3,27,1,1,PRT,Groups,Corporate,E,E,495,73,161223,2
86,2015,7,10,3,7,PRT,Online TA,TA/TO,D,D,240,112.2,150720,2
0,2016,9,25,1,0,PRT,Direct,Direct,A,A,0,70,160926,1
104,2016,4,29,2,3,GBR,Offline TA/TO,TA/TO,D,D,314,54.56,160504,2
5,2016,12,26,1,2,PRT,Online TA,TA/TO,A,A,314,48,161229,1
85,2016,4,21,1,3,FRA,Online TA,TA/TO,D,D,240,76,160425,2
27,2016,9,16,4,10,CZE,Direct,Direct,C,C,0,165,160930,4
8,2016,12,22,0,1,PRT,Direct,Direct,E,E,0,65,161223,2
149,2015,12,5,2,1,PRT,Groups,TA/TO,A,A,38,68,151119,2
143,2016,4,24,2,2,PRT,Groups,TA/TO,A,A,68,84,160105,2
40,2016,12,2,0,2,ESP,Online TA,TA/TO,E,E,240,63,161204,2
1,2017,2,10,0,2,ESP,Online TA,TA/TO,A,A,240,48,170212,2
31,2015,10,6,1,5,ZAF,Direct,Direct,G,G,250,96.67,151012,4
94,2017,2,13,1,3,GBR,Groups,TA/TO,A,A,152,88,170217,3
114,2016,7,21,2,3,USA,Online TA,TA/TO,G,G,240,240,160621,4
3,2015,11,17,0,2,PRT,Corporate,Corporate,E,E,0,61,151119,2
0,2017,5,8,0,0,PRT,Direct,Direct,E,E,0,0,170508,2
106,2016,3,24,1,3,PRT,Groups,Direct,A,A,68,84,160122,2
288,2017,6,3,4,10,GBR,Offline TA/TO,TA/TO,D,D,143,68.4,170617,2
131,2015,12,22,2,5,IRL,Offline TA/TO,TA/TO,A,A,314,65.57,151229,2
198,2017,8,24,1,3,IRL,Online TA,TA/TO,C,C,240,200,170208,4
25,2016,5,16,1,3,PRT,Direct,Direct,G,G,0,135,160520,2
1,2015,10,21,0,0,PRT,Corporate,Corporate,A,D,0,0,151021,1
96,2015,7,19,2,4,PRT,Offline TA/TO,TA/TO,A,A,5,119.7,150725,2
7,2017,3,2,1,3,NLD,Groups,Corporate,A,A,0,29,170306,1
212,2016,4,11,2,5,PRT,Groups,Direct,D,D,273,76.05,151016,2
81,2015,12,6,2,1,PRT,Online TA,TA/TO,D,D,240,41.4,151117,2
38,2015,7,17,1,2,PRT,Online TA,TA/TO,E,E,240,192,150720,3
0,2016,7,28,0,3,GBR,Online TA,TA/TO,A,A,240,193.67,160731,2
53,2015,7,17,2,3,PRT,Offline TA/TO,TA/TO,A,A,152,107,150722,2
201,2016,5,16,1,5,GBR,Offline TA/TO,TA/TO,D,D,115,52.2,160522,2
468,2016,5,12,0,2,PRT,Groups,TA/TO,A,A,249,67,150730,2
32,2016,2,13,0,1,PRT,Direct,Direct,F,F,0,70.2,160214,2
6,2017,8,15,0,1,ESP,Online TA,TA/TO,A,A,0,190,170809,2
21,2016,1,16,2,2,IRL,Direct,Direct,E,E,250,58,160120,2
7,2017,3,2,0,3,GBR,Groups,Corporate,A,E,0,29,170305,1
45,2016,5,2,1,3,BEL,Online TA,TA/TO,E,E,240,95,160318,2
78,2015,7,10,2,5,PRT,Online TA,TA/TO,E,E,240,144.43,150717,2
110,2015,7,1,1,4,ESP,Offline TA/TO,TA/TO,A,C,6,79.59,150706,3
1,2016,8,19,0,1,BRA,Online TA,TA/TO,D,D,240,199,160820,2
46,2015,8,22,2,5,PRT,Offline TA/TO,TA/TO,D,D,261,160.43,150829,2
0,2016,1,27,0,1,PRT,Direct,Direct,A,D,0,40,160128,1
141,2015,10,11,2,3,IRL,Offline TA/TO,TA/TO,E,E,314,62.8,151016,2
2,2015,10,30,0,1,ESP,Online TA,TA/TO,A,D,240,48,151031,2
78,2015,11,21,0,1,PRT,Corporate,Corporate,A,D,0,32,151122,2
7,2017,3,2,0,3,BEL,Groups,Corporate,A,A,0,50.33,170305,3
6,2015,11,1,2,1,NLD,Online TA,TA/TO,D,D,240,58,151104,2
0,2016,11,17,1,3,IRL,Groups,Direct,A,A,0,34,161121,1
14,2016,3,2,0,2,PRT,Online TA,TA/TO,E,E,240,68,160304,2
179,2016,7,6,2,5,PRT,Online TA,TA/TO,A,A,240,107.1,160120,2
0,2017,6,3,0,1,PRT,Direct,Direct,A,A,0,158,170604,3
77,2015,8,17,2,5,PRT,Online TA,TA/TO,D,E,240,154,150824,2
0,2016,3,14,1,3,PRT,Direct,Direct,A,A,0,49.5,160318,2
83,2016,12,23,0,1,MYS,Online TA,TA/TO,A,A,240,37.8,161224,2
16,2015,9,25,0,1,PRT,Direct,Direct,A,A,0,80,150926,1
65,2017,4,17,1,0,BRA,Online TA,TA/TO,E,E,240,90,170215,2
234,2017,5,13,2,3,GBR,Online TA,TA/TO,A,A,314,45.2,170518,2
134,2017,6,14,0,4,PRT,Offline TA/TO,TA/TO,A,A,410,56.7,170131,2
57,2015,7,15,0,2,PRT,Groups,Direct,A,A,305,0,150717,1
0,2015,10,13,0,1,PRT,Direct,Direct,E,E,0,82,151014,3
231,2016,9,2,2,5,GBR,Offline TA/TO,TA/TO,A,A,40,54.7,160909,1
84,2017,2,14,0,5,PRT,Online TA,TA/TO,A,A,240,73.2,170219,2
10,2015,10,27,0,2,ESP,Offline TA/TO,TA/TO,A,A,196,72.5,151029,2
32,2016,4,30,2,5,NLD,Online TA,TA/TO,E,E,240,93.57,160418,2
7,2016,10,26,0,1,PRT,Corporate,Corporate,A,A,0,63,161027,1
222,2017,5,16,2,5,GBR,Offline TA/TO,TA/TO,A,A,143,42.95,170523,2
21,2017,4,18,0,5,CHE,Online TA,TA/TO,D,E,241,112,170423,3
1,2015,9,16,0,1,PRT,Corporate,Direct,A,A,0,75,150917,1
176,2017,7,6,2,5,IRL,Online TA,TA/TO,E,E,241,130.03,170713,3
22,2016,12,8,0,3,PRT,Groups,TA/TO,A,A,38,80,161203,2
24,2017,1,7,2,5,GBR,Offline TA/TO,TA/TO,E,E,314,70.64,170114,2
171,2017,7,9,4,5,GBR,Offline TA/TO,TA/TO,A,A,40,104.85,170718,2
120,2015,12,4,2,2,ESP,Online TA,TA/TO,A,E,240,32.4,151208,2
102,2016,4,30,2,4,GBR,Online TA,TA/TO,A,A,241,45.66,160506,2
118,2016,10,23,2,5,NLD,Direct,Direct,F,F,0,111.2,161030,3
0,2017,1,29,1,0,FRA,Direct,Direct,C,C,0,67,170130,3
74,2015,11,16,1,3,PRT,Online TA,TA/TO,D,D,240,76,150904,2
0,2017,1,22,1,0,POL,Direct,Direct,C,C,0,49.1,170123,4
2,2017,6,6,0,3,PRT,Online TA,TA/TO,D,D,240,180.33,170609,2
286,2015,8,31,3,7,GBR,Offline TA/TO,TA/TO,A,A,40,55.68,150910,2
2,2017,5,24,0,1,PRT,Direct,TA/TO,A,A,0,107.25,170525,3
80,2015,11,16,1,3,PRT,Online TA,TA/TO,A,A,240,32.4,150831,3
213,2016,5,28,2,3,GBR,Offline TA/TO,TA/TO,A,A,314,46.93,160602,2
342,2016,10,14,2,5,GBR,Groups,Direct,E,G,273,0,161021,1
15,2017,3,18,2,5,GBR,Online TA,TA/TO,D,D,314,62,170325,1
51,2016,7,17,3,5,PRT,Direct,Direct,A,A,0,202,160725,3
0,2015,11,19,0,2,NGA,Direct,Direct,F,F,250,98,151121,2
40,2017,1,16,1,1,PRT,Groups,Direct,A,C,0,55,170118,1
131,2017,6,18,2,2,PRT,Offline TA/TO,TA/TO,A,A,410,63,170207,2
30,2017,2,17,0,2,GBR,Direct,Direct,A,A,250,36,170121,1
0,2015,11,26,0,1,PRT,Corporate,Corporate,A,D,0,38,151127,1
3,2016,1,8,1,2,USA,Online TA,TA/TO,E,E,240,52.8,160111,2
3,2017,8,4,0,2,PHL,Online TA,TA/TO,A,A,241,196,170806,3
11,2015,10,30,1,2,ESP,Offline TA/TO,TA/TO,E,E,177,56,151102,2
2,2017,5,28,2,2,GBR,Online TA,TA/TO,E,F,240,8,170601,2
100,2017,4,29,2,1,PRT,Groups,TA/TO,D,D,385,85,170421,2
6,2016,12,5,1,2,ESP,Groups,TA/TO,A,C,134,115.5,161208,3
156,2017,5,8,2,5,IRL,Groups,TA/TO,A,A,434,80,170515,2
82,2017,5,8,1,1,GBR,Online TA,TA/TO,A,A,241,58.52,170510,1
76,2016,11,29,0,1,SWE,Corporate,Corporate,E,E,481,50,161130,2
125,2017,3,17,0,2,GBR,Online TA,TA/TO,D,D,240,75,170319,2
294,2016,8,29,2,5,PRT,Offline TA/TO,TA/TO,A,A,315,142.1,160829,2
1,2015,11,18,0,2,PRT,Direct,Direct,A,A,0,38,151120,1
18,2017,5,2,2,5,PRT,Offline TA/TO,TA/TO,A,A,143,73.5,170419,2
388,2017,5,25,0,3,CN,Groups,TA/TO,E,E,96,73.33,170528,2
256,2017,8,8,2,7,BEL,Offline TA/TO,TA/TO,A,A,479,172.81,170817,3
342,2017,6,26,3,7,GBR,Offline TA/TO,TA/TO,A,A,40,126.2,170706,2
31,2016,3,4,2,4,ESP,Online TA,TA/TO,A,A,240,56,160310,2
10,2015,8,20,0,0,PRT,Online TA,TA/TO,A,D,240,0,150820,2
80,2016,11,17,1,3,GBR,Online TA,TA/TO,A,A,242,37.8,161121,2
151,2016,9,11,2,1,CHE,Direct,Direct,E,E,250,160.4,160914,2
126,2016,3,2,2,5,NOR,Online TA,TA/TO,E,E,240,62.63,160309,2
135,2017,6,11,2,2,PRT,Offline TA/TO,TA/TO,A,A,410,56.7,170127,2
31,2016,3,8,0,5,ESP,Offline TA/TO,TA/TO,A,A,339,29,160313,2
5,2017,7,4,0,3,IRL,Direct,Direct,A,A,250,147.25,170707,1
1,2017,8,25,0,1,PRT,Online TA,TA/TO,D,D,240,171.5,170826,2
79,2015,7,17,2,5,PRT,Online TA,TA/TO,E,E,240,145,150724,2
433,2016,9,15,0,2,PRT,Groups,TA/TO,A,A,1,62,151021,2
10,2017,5,21,1,0,FRA,Online TA,TA/TO,D,D,9,170,170522,2
129,2016,6,30,0,3,DEU,Direct,Direct,D,D,14,164.87,160703,3
40,2016,4,17,2,0,ITA,Online TA,TA/TO,D,D,9,114.3,160312,2
68,2017,5,17,0,4,GBR,Online TA,TA/TO,A,A,9,144,170521,2
34,2017,6,18,2,4,BRA,Online TA,TA/TO,A,A,7,104,170624,1
8,2017,1,1,2,2,ITA,Online TA,TA/TO,D,D,9,112.2,170105,2
224,2015,10,2,1,2,FRA,Offline TA/TO,TA/TO,A,A,3,65,151005,2
70,2016,2,11,0,3,ITA,Direct,Direct,D,D,14,76.5,160214,2
254,2016,9,24,1,1,PRT,Groups,TA/TO,A,A,1,96,160301,2
121,2016,5,16,1,2,BEL,Online TA,TA/TO,D,D,9,123.3,160519,2
23,2016,11,6,2,2,NLD,Online TA,GDS,A,A,195,180.25,161110,1
98,2016,6,5,2,3,GBR,Online TA,TA/TO,A,A,7,90.97,160610,2
342,2015,9,24,2,4,PRT,Groups,TA/TO,A,A,1,170,150821,2
123,2016,4,30,2,5,FIN,Online TA,TA/TO,A,A,11,70.73,160507,2
100,2016,4,23,1,1,PRT,Groups,TA/TO,A,A,1,96,160209,2
122,2016,3,28,1,3,BEL,Direct,Direct,B,B,14,68.64,160401,2
5,2016,11,7,1,0,PRT,Corporate,Corporate,A,D,0,67,161108,1
2,2016,2,11,0,2,PRT,Direct,Direct,A,A,14,79,160210,2
96,2017,5,5,0,2,ITA,Online TA,TA/TO,D,D,9,171,170418,3
84,2017,8,5,0,1,NLD,Online TA,TA/TO,A,A,9,125,170806,2
5,2015,9,21,1,0,GBR,Online TA,TA/TO,A,A,8,145,150922,1
27,2017,5,8,1,2,NOR,Online TA,TA/TO,D,D,9,179,170418,2
272,2015,7,16,0,2,PRT,Groups,TA/TO,A,A,1,62,150101,2
151,2016,8,5,1,2,GBR,Offline TA/TO,TA/TO,A,A,22,72.25,160808,2
129,2017,8,5,2,2,ESP,Direct,Direct,D,D,14,155,170809,4
123,2017,5,31,0,3,BEL,Online TA,TA/TO,A,A,9,114,170603,2
55,2015,9,6,2,0,FRA,Groups,TA/TO,A,D,1,75,150908,2
115,2016,3,26,2,1,FRA,Offline TA/TO,TA/TO,A,A,28,58,160329,2
115,2016,2,27,2,2,BRA,Offline TA/TO,TA/TO,A,A,134,76,160302,1
11,2017,3,3,0,2,BRA,Online TA,TA/TO,A,A,9,112.5,170305,2
86,2017,5,16,0,5,AUS,Online TA,TA/TO,A,A,9,120.6,170316,2
27,2016,9,19,1,0,PRT,Offline TA/TO,TA/TO,A,A,287,118.15,160831,2
57,2017,5,6,2,3,FRA,Online TA,TA/TO,A,A,9,144,170429,2
128,2017,8,4,0,1,GBR,Online TA,TA/TO,D,D,9,195,170712,3
111,2016,10,10,1,0,PRT,Offline TA/TO,TA/TO,A,A,234,120,161007,1
140,2017,8,18,2,2,FRA,Online TA,TA/TO,D,D,9,193,170515,2
60,2015,10,6,2,7,BRA,Online TA,TA/TO,A,A,9,89.25,151015,2
91,2016,5,13,1,2,FRA,Online TA,TA/TO,D,D,9,140.4,160222,2
7,2016,3,29,0,2,ITA,Online TA,TA/TO,A,A,9,95,160331,1
14,2016,6,12,2,1,GBR,Online TA,TA/TO,D,D,9,159.33,160615,3
32,2017,2,15,0,4,BEL,Online TA,TA/TO,A,A,9,91.8,170219,2
211,2016,5,31,0,3,GBR,Online TA,TA/TO,B,B,11,68.69,160603,2
102,2016,5,16,1,2,FRA,Offline TA/TO,TA/TO,A,A,28,75,160519,2
47,2016,7,2,2,2,GBR,Online TA,TA/TO,D,D,89,114.48,160706,3
83,2015,9,23,0,2,ESP,Groups,TA/TO,A,A,1,62,150925,2
256,2017,5,2,0,4,DEU,Offline TA/TO,TA/TO,A,A,42,99,170506,2
104,2017,5,15,1,2,PRT,Groups,TA/TO,A,A,0,170,170131,2
24,2015,9,18,1,2,PRT,Online TA,TA/TO,A,A,9,124,150912,2
34,2017,8,30,0,3,FRA,Corporate,Corporate,A,A,0,85,170902,1
28,2017,2,5,2,4,FRA,Online TA,TA/TO,D,D,7,84.17,170211,3
112,2016,8,14,2,5,FRA,Direct,Direct,G,G,14,240.3,160821,4
2,2016,1,27,0,1,PRT,Complementary,Direct,A,G,0,0,160128,1
3,2016,8,1,1,0,FRA,Online TA,TA/TO,F,F,9,201,160802,4
50,2016,10,20,0,1,FRA,Online TA,TA/TO,A,A,9,89.1,160929,2
2,2016,10,30,2,0,AUT,Aviation,Corporate,D,D,0,94,161101,1
120,2017,5,11,0,3,FRA,Offline TA/TO,TA/TO,A,A,28,89.1,170514,2
72,2017,6,10,2,1,ITA,Online TA,TA/TO,A,A,9,140,170613,2
109,2016,2,21,2,1,PRT,Offline TA/TO,TA/TO,A,A,19,75,151218,2
59,2015,10,15,2,3,NLD,Offline TA/TO,TA/TO,A,A,83,76.5,151020,2
67,2015,11,21,1,1,FRA,Online TA,TA/TO,A,A,9,79.2,151123,2
2,2016,2,22,1,3,CN,Online TA,TA/TO,A,A,9,84.5,160226,1
308,2016,11,23,0,3,NOR,Online TA,TA/TO,A,A,9,78.3,161126,2
212,2016,10,9,2,2,PRT,Online TA,TA/TO,A,A,7,75.23,160312,2
580,2017,2,9,0,2,PRT,Groups,TA/TO,A,A,1,62,151021,2
26,2017,4,27,1,3,LVA,Online TA,TA/TO,A,A,9,115,170501,2
204,2016,5,5,0,3,PRT,Offline TA/TO,TA/TO,A,A,34,100,160118,2
27,2016,6,9,0,1,PRT,Offline TA/TO,Corporate,A,A,191,120,160602,2
230,2016,6,19,2,3,NLD,Offline TA/TO,TA/TO,A,A,121,80.75,160624,2
110,2016,10,9,2,2,PRT,Offline TA/TO,TA/TO,A,A,234,130,161009,2
76,2017,3,23,2,3,GBR,Offline TA/TO,TA/TO,A,A,28,68,170328,2
46,2016,9,3,2,1,ESP,Online TA,TA/TO,F,F,9,181.8,160728,4
377,2015,10,29,0,2,PRT,Groups,TA/TO,A,A,1,62,150101,2
99,2016,5,19,0,1,PRT,Online TA,TA/TO,A,A,9,135.9,160503,2
9,2015,9,20,4,5,NLD,Online TA,TA/TO,A,A,9,169.11,150929,2
16,2017,3,23,0,1,ITA,Corporate,Corporate,A,A,0,93,170324,1
64,2016,9,14,1,4,BRA,Offline TA/TO,TA/TO,A,A,157,92.48,160919,1
65,2017,3,11,1,1,DEU,Online TA,TA/TO,A,A,9,79.2,170313,2
107,2017,4,14,0,1,BRA,Online TA,TA/TO,A,A,9,126,170415,2
119,2017,7,23,1,0,FRA,Online TA,TA/TO,D,D,9,139.5,170413,2
